時間,設備,值
2024-10-15 00:23:04,SA-59/LED_LEVEL,6
2024-10-15 00:23:40,SA-59/LED_LEVEL,6
2024-10-15 00:23:47,SA-59/LED_LEVEL,5
2024-10-15 00:23:49,SA-59/LED_LEVEL,6
2024-10-15 00:23:50,SA-59/LED_LEVEL,7
2024-10-15 00:23:51,SA-59/LED_LEVEL,8
2024-10-15 00:23:53,SA-59/LED_LEVEL,9
2024-10-15 00:23:54,SA-59/LED_LEVEL,10
2024-10-15 00:23:58,SA-59/LED_LEVEL,9
2024-10-15 00:23:58,SA-59/LED_LEVEL,8
2024-10-15 00:23:59,SA-59/LED_LEVEL,7
2024-10-15 00:24:00,SA-59/LED_LEVEL,6
2024-10-15 00:24:01,SA-59/LED_LEVEL,5
2024-10-15 00:24:02,SA-59/LED_LEVEL,4
2024-10-15 00:24:03,SA-59/LED_LEVEL,3
2024-10-15 00:24:03,SA-59/LED_LEVEL,2
2024-10-15 00:24:04,SA-59/LED_LEVEL,1
2024-10-15 00:24:06,SA-59/LED_LEVEL,2
2024-10-15 00:24:06,SA-59/LED_LEVEL,3
2024-10-15 00:24:07,SA-59/LED_LEVEL,4
2024-10-15 00:24:08,SA-59/LED_LEVEL,6
2024-10-15 00:24:09,SA-59/LED_LEVEL,7
2024-10-15 00:24:09,SA-59/LED_LEVEL,8
2024-10-15 00:24:10,SA-59/LED_LEVEL,9
2024-10-15 00:24:10,SA-59/LED_LEVEL,10
2024-10-15 00:24:12,SA-59/LED_LEVEL,9
2024-10-15 00:24:12,SA-59/LED_LEVEL,7
2024-10-15 00:24:13,SA-59/LED_LEVEL,6
2024-10-15 00:24:14,SA-59/LED_LEVEL,5
2024-10-15 00:24:14,SA-59/LED_LEVEL,4
2024-10-15 00:24:15,SA-59/LED_LEVEL,3
2024-10-15 00:24:16,SA-59/LED_LEVEL,2
2024-10-15 00:24:17,SA-59/LED_LEVEL,1
2024-10-15 00:24:17,SA-59/LED_LEVEL,0
2024-10-15 00:24:45,SA-59/LED_LEVEL,1
2024-10-15 00:24:46,SA-59/LED_LEVEL,2
2024-10-15 00:24:46,SA-59/LED_LEVEL,3
2024-10-15 00:24:48,SA-59/LED_LEVEL,4
2024-10-15 00:24:50,SA-59/LED_LEVEL,5
2024-10-15 00:24:51,SA-59/LED_LEVEL,6
2024-10-15 00:24:52,SA-59/LED_LEVEL,7
2024-10-15 00:24:53,SA-59/LED_LEVEL,8
2024-10-15 00:24:54,SA-59/LED_LEVEL,9
2024-10-15 00:24:55,SA-59/LED_LEVEL,10
2024-10-15 00:24:56,SA-59/LED_LEVEL,8
2024-10-15 00:24:56,SA-59/LED_LEVEL,5
2024-10-15 00:47:52,SA-59/LED_LEVEL,4
2024-10-15 00:47:55,SA-59/LED_LEVEL,5
2024-10-15 00:47:57,SA-59/LED_LEVEL,6
2024-10-15 00:48:01,SA-59/LED_LEVEL,7
2024-10-15 00:48:03,SA-59/LED_LEVEL,8
2024-10-15 00:48:04,SA-59/LED_LEVEL,9
2024-10-15 00:48:06,SA-59/LED_LEVEL,10
2024-10-15 00:48:09,SA-59/LED_LEVEL,9
2024-10-15 00:48:11,SA-59/LED_LEVEL,8
2024-10-15 00:48:12,SA-59/LED_LEVEL,7
2024-10-15 00:48:25,SA-59/LED_LEVEL,6
2024-10-15 00:48:25,SA-59/LED_LEVEL,7
2024-10-15 00:48:27,SA-59/LED_LEVEL,6
2024-10-15 00:48:30,SA-59/LED_LEVEL,5
2024-10-15 00:48:33,SA-59/LED_LEVEL,4
2024-10-15 00:48:34,SA-59/LED_LEVEL,3
2024-10-15 00:48:36,SA-59/LED_LEVEL,2
2024-10-15 00:53:15,SA-59/LED_LEVEL,1
2024-10-15 00:53:20,SA-59/LED_LEVEL,2
2024-10-15 00:53:20,SA-59/LED_LEVEL,4
