時間,設備,值
2024-11-06 18:44:41,SA-59/LED_LEVEL,9
2024-11-06 18:44:42,SA-59/TEMPERATURE,29.85
2024-11-06 18:44:42,SA-59/LINE_LEVEL,1
2024-11-06 18:44:51,SA-59/LED_LEVEL,10
2024-11-06 18:45:00,SA-59/TEMPERATURE,30.32
2024-11-06 18:45:00,SA-59/LED_LEVEL,9
2024-11-06 18:45:02,SA-59/TEMPERATURE,29.85
2024-11-06 18:45:03,SA-59/LED_LEVEL,8
2024-11-06 18:45:04,SA-59/LED_LEVEL,7
2024-11-06 18:45:06,SA-59/LED_LEVEL,6
2024-11-06 18:45:18,SA-59/TEMPERATURE,30.32
2024-11-06 18:45:20,SA-59/TEMPERATURE,29.85
2024-11-06 18:45:24,SA-59/LINE_LEVEL,0
2024-11-06 18:45:26,SA-59/LINE_LEVEL,1
2024-11-06 18:45:40,SA-59/TEMPERATURE,30.32
2024-11-06 18:45:42,SA-59/TEMPERATURE,29.85
2024-11-06 18:45:46,SA-59/TEMPERATURE,30.32
2024-11-06 18:45:48,SA-59/TEMPERATURE,29.85
2024-11-06 18:46:16,SA-59/TEMPERATURE,30.32
2024-11-06 18:46:18,SA-59/TEMPERATURE,29.85
2024-11-06 18:46:38,SA-59/TEMPERATURE,30.32
2024-11-06 18:46:40,SA-59/TEMPERATURE,29.85
2024-11-06 18:47:14,SA-59/TEMPERATURE,30.32
2024-11-06 18:47:16,SA-59/TEMPERATURE,29.85
2024-11-06 18:48:46,SA-59/TEMPERATURE,30.32
2024-11-06 18:48:48,SA-59/TEMPERATURE,29.85
2024-11-06 18:49:04,SA-59/TEMPERATURE,30.32
2024-11-06 18:49:06,SA-59/TEMPERATURE,29.85
2024-11-06 18:49:10,SA-59/TEMPERATURE,30.32
2024-11-06 18:49:12,SA-59/TEMPERATURE,29.85
2024-11-06 18:49:22,SA-59/TEMPERATURE,30.32
2024-11-06 18:49:24,SA-59/TEMPERATURE,29.85
2024-11-06 18:49:44,SA-59/TEMPERATURE,30.32
2024-11-06 18:49:46,SA-59/TEMPERATURE,29.85
2024-11-06 18:50:32,SA-59/TEMPERATURE,30.32
2024-11-06 18:50:34,SA-59/TEMPERATURE,29.85
2024-11-06 18:51:44,SA-59/TEMPERATURE,30.32
2024-11-06 18:51:46,SA-59/TEMPERATURE,29.85
2024-11-06 18:51:56,SA-59/TEMPERATURE,30.32
2024-11-06 18:51:58,SA-59/TEMPERATURE,29.85
2024-11-06 18:52:28,SA-59/TEMPERATURE,30.32
2024-11-06 18:52:30,SA-59/TEMPERATURE,29.85
2024-11-06 18:54:02,SA-59/TEMPERATURE,30.32
2024-11-06 18:54:04,SA-59/TEMPERATURE,29.85
2024-11-06 18:55:20,SA-59/TEMPERATURE,29.39
2024-11-06 18:55:22,SA-59/TEMPERATURE,29.85
2024-11-06 18:55:26,SA-59/TEMPERATURE,29.39
2024-11-06 18:55:28,SA-59/TEMPERATURE,29.85
2024-11-06 18:56:58,SA-59/TEMPERATURE,28.92
2024-11-06 18:57:00,SA-59/TEMPERATURE,29.85
2024-11-06 18:57:58,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:00,SA-59/TEMPERATURE,29.85
