時間,設備,值
2024-11-06 18:58:02,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:04,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:06,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:10,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:12,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:16,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:18,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:24,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:30,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:32,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:34,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:38,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:42,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:44,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:46,SA-59/TEMPERATURE,30.32
2024-11-06 18:58:54,SA-59/TEMPERATURE,29.85
2024-11-06 18:58:58,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:00,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:04,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:16,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:18,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:20,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:22,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:26,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:28,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:32,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:36,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:42,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:46,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:48,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:50,SA-59/TEMPERATURE,30.32
2024-11-06 18:59:52,SA-59/TEMPERATURE,29.85
2024-11-06 18:59:54,SA-59/TEMPERATURE,30.32
2024-11-06 19:00:02,SA-59/TEMPERATURE,29.85
2024-11-06 19:00:04,SA-59/TEMPERATURE,30.32
2024-11-06 19:00:06,SA-59/TEMPERATURE,29.85
2024-11-06 19:00:08,SA-59/TEMPERATURE,30.32
2024-11-06 19:00:14,SA-59/TEMPERATURE,29.85
2024-11-06 19:00:16,SA-59/TEMPERATURE,30.32
2024-11-06 19:01:22,SA-59/TEMPERATURE,29.85
2024-11-06 19:01:24,SA-59/TEMPERATURE,30.32
2024-11-06 19:01:36,SA-59/TEMPERATURE,29.85
2024-11-06 19:01:38,SA-59/TEMPERATURE,30.32
2024-11-06 19:01:40,SA-59/TEMPERATURE,29.85
2024-11-06 19:01:42,SA-59/TEMPERATURE,30.32
2024-11-06 19:01:46,SA-59/TEMPERATURE,29.85
2024-11-06 19:01:48,SA-59/TEMPERATURE,30.32
2024-11-06 19:02:42,SA-59/TEMPERATURE,29.85
2024-11-06 19:02:44,SA-59/TEMPERATURE,30.32
2024-11-06 19:02:48,SA-59/TEMPERATURE,29.85
2024-11-06 19:02:50,SA-59/TEMPERATURE,30.32
2024-11-06 19:03:24,SA-59/TEMPERATURE,29.85
2024-11-06 19:03:26,SA-59/TEMPERATURE,30.32
2024-11-06 19:04:00,SA-59/TEMPERATURE,29.85
2024-11-06 19:04:02,SA-59/TEMPERATURE,30.32
2024-11-06 19:04:04,SA-59/TEMPERATURE,29.85
2024-11-06 19:04:06,SA-59/TEMPERATURE,30.32
2024-11-06 19:04:08,SA-59/TEMPERATURE,29.85
2024-11-06 19:04:10,SA-59/TEMPERATURE,30.32
2024-11-06 19:05:28,SA-59/TEMPERATURE,30.79
2024-11-06 19:05:30,SA-59/TEMPERATURE,30.32
2024-11-06 19:07:02,SA-59/TEMPERATURE,30.79
2024-11-06 19:07:04,SA-59/TEMPERATURE,30.32
2024-11-06 19:07:08,SA-59/TEMPERATURE,29.85
2024-11-06 19:07:10,SA-59/TEMPERATURE,30.32
2024-11-06 19:07:20,SA-59/TEMPERATURE,29.85
2024-11-06 19:07:22,SA-59/TEMPERATURE,30.32
2024-11-06 19:07:46,SA-59/TEMPERATURE,29.85
2024-11-06 19:07:48,SA-59/TEMPERATURE,30.32
2024-11-06 19:07:58,SA-59/TEMPERATURE,29.85
2024-11-06 19:08:00,SA-59/TEMPERATURE,30.32
2024-11-06 19:08:04,SA-59/TEMPERATURE,29.85
2024-11-06 19:08:06,SA-59/TEMPERATURE,30.32
2024-11-06 19:09:10,SA-59/TEMPERATURE,29.85
2024-11-06 19:09:12,SA-59/TEMPERATURE,30.32
2024-11-06 19:10:28,SA-59/TEMPERATURE,29.85
2024-11-06 19:10:30,SA-59/TEMPERATURE,30.32
2024-11-06 19:10:34,SA-59/TEMPERATURE,29.85
2024-11-06 19:10:36,SA-59/TEMPERATURE,30.32
