時間,設備,值
2024-10-19 11:03:45,SA-59/LED_LEVEL,8
2024-10-19 11:05:18,SA-59/LED_LEVEL,7
2024-10-19 11:05:19,SA-59/LED_LEVEL,8
2024-10-19 11:05:24,SA-59/LED_LEVEL,7
2024-10-19 11:05:25,SA-59/LED_LEVEL,8
2024-10-19 11:06:48,SA-59/LED_LEVEL,5
2024-10-19 11:09:34,SA-59/LED_LEVEL,6
2024-10-19 11:09:43,SA-59/LED_LEVEL,7
2024-10-19 11:09:43,SA-59/LED_LEVEL,8
2024-10-19 11:09:49,SA-59/LED_LEVEL,7
2024-10-19 11:09:50,SA-59/LED_LEVEL,5
2024-10-19 11:09:53,SA-59/LED_LEVEL,4
2024-10-19 11:11:23,SA-59/LED_LEVEL,6
2024-10-19 11:11:25,SA-59/LED_LEVEL,7
2024-10-19 11:11:28,SA-59/LED_LEVEL,8
2024-10-19 11:55:24,SA-01/LED_LEVEL,4
2024-10-19 11:56:59,SA-01/LED_LEVEL,4
2024-10-19 11:57:50,SA-59/LED_LEVEL,2
2024-10-19 11:57:54,SA-59/LED_LEVEL,1
2024-10-19 11:57:55,SA-59/LED_LEVEL,0
2024-10-19 11:57:56,SA-59/LED_LEVEL,1
2024-10-19 11:57:57,SA-59/LED_LEVEL,2
2024-10-19 11:59:58,SA-59/LED_LEVEL,2
2024-10-19 12:00:01,SA-59/LED_LEVEL,0
2024-10-19 12:00:03,SA-59/LED_LEVEL,6
2024-10-19 12:00:05,SA-59/LED_LEVEL,8
2024-10-19 13:31:57,SA-59/LED_LEVEL,9
2024-10-19 13:31:58,SA-59/LED_LEVEL,10
2024-10-19 13:35:26,SA-59/LED_LEVEL,8
2024-10-19 13:35:29,SA-59/LED_LEVEL,7
2024-10-19 13:57:26,SA-59/LED_LEVEL,7
2024-10-19 13:57:39,SA-59/LED_LEVEL,8
2024-10-19 13:57:40,SA-59/LED_LEVEL,10
2024-10-19 14:15:34,SA-01/LED_LEVEL,6
2024-10-19 14:15:34,SA-01/TEMPERATURE,27.98
2024-10-19 14:16:11,SA-59/LED_LEVEL,10
2024-10-19 14:16:12,SA-59/TEMPERATURE,28.45
2024-10-19 14:16:19,SA-59/LED_LEVEL,3
2024-10-19 14:16:20,SA-59/TEMPERATURE,27.98
2024-10-19 14:16:21,SA-59/LED_LEVEL,0
2024-10-19 14:16:22,SA-59/TEMPERATURE,28.45
2024-10-19 14:16:23,SA-59/LED_LEVEL,3
2024-10-19 14:18:09,SA-59/LED_LEVEL,4
2024-10-19 14:18:10,SA-59/LED_LEVEL,8
2024-10-19 14:18:11,SA-59/LED_LEVEL,0
2024-10-19 14:18:14,SA-59/LED_LEVEL,2
2024-10-19 14:18:42,SA-59/TEMPERATURE,28.45
2024-10-19 14:18:42,SA-59/LED_LEVEL,2
2024-10-19 14:18:56,SA-59/TEMPERATURE,27.98
2024-10-19 14:19:05,SA-59/LED_LEVEL,2
2024-10-19 14:19:06,SA-59/TEMPERATURE,28.45
2024-10-19 14:19:08,SA-59/LED_LEVEL,6
2024-10-19 14:19:09,SA-59/LED_LEVEL,2
2024-10-19 14:19:10,SA-59/LED_LEVEL,4
2024-10-19 14:19:11,SA-59/LED_LEVEL,5
2024-10-19 14:21:00,SA-59/TEMPERATURE,28.45
2024-10-19 14:21:00,SA-59/LED_LEVEL,5
2024-10-19 14:21:02,SA-59/TEMPERATURE,27.98
2024-10-19 14:21:04,SA-59/TEMPERATURE,28.45
2024-10-19 14:21:06,SA-59/LED_LEVEL,6
2024-10-19 14:21:07,SA-59/LED_LEVEL,9
2024-10-19 14:21:08,SA-59/LED_LEVEL,10
2024-10-19 14:21:09,SA-59/LED_LEVEL,8
2024-10-19 14:21:10,SA-59/LED_LEVEL,6
2024-10-19 14:21:26,SA-59/TEMPERATURE,28.92
2024-10-19 14:21:28,SA-59/TEMPERATURE,28.45
2024-10-19 14:22:11,SA-59/LED_LEVEL,6
2024-10-19 14:22:12,SA-59/TEMPERATURE,28.45
2024-10-19 14:25:15,SA-59/LED_LEVEL,6
2024-10-19 14:25:16,SA-59/TEMPERATURE,28.45
2024-10-19 14:25:20,SA-59/LED_LEVEL,9
2024-10-19 14:25:21,SA-59/LED_LEVEL,10
2024-10-19 14:25:22,SA-59/TEMPERATURE,28.92
2024-10-19 14:25:22,SA-59/LED_LEVEL,7
2024-10-19 14:25:23,SA-59/LED_LEVEL,0
2024-10-19 14:25:26,SA-59/TEMPERATURE,28.45
2024-10-19 14:25:26,SA-59/LED_LEVEL,5
2024-10-19 14:25:27,SA-59/LED_LEVEL,6
2024-10-19 14:25:48,SA-59/TEMPERATURE,27.98
2024-10-19 14:25:50,SA-59/TEMPERATURE,28.45
2024-10-19 14:26:06,SA-59/TEMPERATURE,28.45
2024-10-19 14:27:00,SA-59/TEMPERATURE,27.98
2024-10-19 14:27:02,SA-59/TEMPERATURE,28.45
2024-10-19 14:28:19,SA-59/TEMPERATURE,28.45
2024-10-19 14:28:19,SA-59/LED_LEVEL,6
2024-10-19 14:28:20,SA-59/LED_LEVEL,5
2024-10-19 14:28:21,SA-59/LED_LEVEL,0
2024-10-19 14:28:25,SA-59/LED_LEVEL,3
2024-10-19 14:28:39,SA-59/LED_LEVEL,6
2024-10-19 14:28:41,SA-59/LED_LEVEL,10
2024-10-19 14:28:42,SA-59/LED_LEVEL,5
2024-10-19 14:28:43,SA-59/LED_LEVEL,2
2024-10-19 14:28:44,SA-59/LED_LEVEL,0
2024-10-19 14:29:03,SA-59/LED_LEVEL,4
2024-10-19 14:29:04,SA-59/LED_LEVEL,9
2024-10-19 14:29:05,SA-59/LED_LEVEL,3
2024-10-19 14:29:06,SA-59/TEMPERATURE,28.92
2024-10-19 14:29:06,SA-59/LED_LEVEL,1
2024-10-19 14:29:08,SA-59/TEMPERATURE,28.45
2024-10-19 14:29:32,SA-59/TEMPERATURE,27.98
2024-10-19 14:29:33,SA-59/LED_LEVEL,0
2024-10-19 14:29:34,SA-59/TEMPERATURE,28.45
2024-10-19 14:30:48,SA-59/TEMPERATURE,28.45
2024-10-19 14:30:53,SA-59/LED_LEVEL,9
2024-10-19 14:30:54,SA-59/TEMPERATURE,27.98
2024-10-19 14:30:55,SA-59/LED_LEVEL,0
2024-10-19 14:30:56,SA-59/TEMPERATURE,28.45
2024-10-19 14:30:58,SA-59/LED_LEVEL,7
2024-10-19 14:31:00,SA-59/LED_LEVEL,8
2024-10-19 14:31:00,SA-59/LED_LEVEL,1
2024-10-19 14:31:01,SA-59/LED_LEVEL,0
2024-10-19 14:31:02,SA-59/LED_LEVEL,6
2024-10-19 14:31:06,SA-59/LED_LEVEL,5
2024-10-19 14:31:10,SA-59/TEMPERATURE,27.98
2024-10-19 14:31:11,SA-59/LED_LEVEL,10
2024-10-19 14:31:12,SA-59/TEMPERATURE,28.45
2024-10-19 14:31:12,SA-59/LED_LEVEL,5
2024-10-19 14:31:13,SA-59/LED_LEVEL,4
2024-10-19 14:31:15,SA-59/LED_LEVEL,9
2024-10-19 14:31:16,SA-59/LED_LEVEL,7
2024-10-19 14:31:17,SA-59/LED_LEVEL,6
2024-10-19 14:31:38,SA-59/TEMPERATURE,27.98
2024-10-19 14:31:40,SA-59/TEMPERATURE,28.45
2024-10-19 14:32:34,SA-59/TEMPERATURE,28.92
2024-10-19 14:32:34,SA-59/TEMPERATURE,28.45
2024-10-19 14:33:52,SA-59/TEMPERATURE,28.92
2024-10-19 14:33:54,SA-59/TEMPERATURE,28.45
2024-10-19 14:34:12,SA-59/TEMPERATURE,28.92
2024-10-19 14:34:14,SA-59/TEMPERATURE,28.45
2024-10-19 14:34:38,SA-59/TEMPERATURE,27.98
2024-10-19 14:54:16,SA-59/TEMPERATURE,28.45
2024-10-19 14:54:24,SA-59/TEMPERATURE,28.92
2024-10-19 14:54:26,SA-59/TEMPERATURE,28.45
2024-10-19 14:54:36,SA-59/TEMPERATURE,28.92
2024-10-19 14:54:53,SA-59/TEMPERATURE,28.45
2024-10-19 14:54:57,SA-59/TEMPERATURE,28.92
2024-10-19 14:55:04,SA-59/TEMPERATURE,28.45
2024-10-19 14:55:06,SA-59/TEMPERATURE,28.92
2024-10-19 14:55:08,SA-59/TEMPERATURE,28.45
2024-10-19 14:55:10,SA-59/TEMPERATURE,28.92
2024-10-19 14:55:21,SA-01/LED_LEVEL,6
2024-10-19 14:55:22,SA-01/LINE_LEVEL,1
2024-10-19 14:55:23,SA-01/TEMPERATURE,28.45
2024-10-19 14:55:43,SA-01/TEMPERATURE,28.92
2024-10-19 14:55:45,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:18,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:19,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:20,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:21,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:22,SA-01/TEMPERATURE,27.51
2024-10-19 14:56:23,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:24,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:25,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:26,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:27,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:28,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:29,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:30,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:31,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:32,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:34,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:34,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:35,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:36,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:37,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:38,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:39,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:40,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:41,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:42,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:43,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:44,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:45,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:46,SA-01/TEMPERATURE,27.51
2024-10-19 14:56:47,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:48,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:49,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:50,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:51,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:52,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:53,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:54,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:55,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:56,SA-01/TEMPERATURE,27.51
2024-10-19 14:56:57,SA-01/TEMPERATURE,28.45
2024-10-19 14:56:58,SA-01/TEMPERATURE,27.98
2024-10-19 14:56:59,SA-01/TEMPERATURE,28.92
2024-10-19 14:57:00,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:01,SA-01/TEMPERATURE,28.92
2024-10-19 14:57:02,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:03,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:04,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:05,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:06,SA-01/TEMPERATURE,27.51
2024-10-19 14:57:07,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:08,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:09,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:10,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:11,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:12,SA-01/TEMPERATURE,27.51
2024-10-19 14:57:13,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:14,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:15,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:16,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:17,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:18,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:19,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:20,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:21,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:22,SA-01/TEMPERATURE,27.51
2024-10-19 14:57:23,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:25,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:26,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:27,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:28,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:29,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:30,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:31,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:32,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:33,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:34,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:36,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:38,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:40,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:40,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:41,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:42,SA-01/TEMPERATURE,27.51
2024-10-19 14:57:43,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:45,SA-01/LINE_LEVEL,0
2024-10-19 14:57:46,SA-01/TEMPERATURE,28.92
2024-10-19 14:57:46,SA-01/LINE_LEVEL,1
2024-10-19 14:57:47,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:47,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:49,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:50,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:50,SA-01/LINE_LEVEL,0
2024-10-19 14:57:51,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:51,SA-01/LINE_LEVEL,1
2024-10-19 14:57:52,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:53,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:54,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:55,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:56,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:57,SA-01/TEMPERATURE,28.45
2024-10-19 14:57:58,SA-01/TEMPERATURE,27.98
2024-10-19 14:57:59,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:02,SA-01/LINE_LEVEL,0
2024-10-19 14:58:03,SA-01/LINE_LEVEL,1
2024-10-19 14:58:04,SA-01/LINE_LEVEL,0
2024-10-19 14:58:05,SA-01/LINE_LEVEL,1
2024-10-19 14:58:08,SA-01/LINE_LEVEL,0
2024-10-19 14:58:09,SA-01/LINE_LEVEL,1
2024-10-19 14:58:09,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:10,SA-01/LINE_LEVEL,0
2024-10-19 14:58:11,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:11,SA-01/LINE_LEVEL,1
2024-10-19 14:58:11,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:12,SA-01/LINE_LEVEL,0
2024-10-19 14:58:13,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:13,SA-01/LINE_LEVEL,1
2024-10-19 14:58:13,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:15,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:15,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:17,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:17,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:19,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:21,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:21,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:23,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:25,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:25,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:27,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:27,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:29,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:29,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:31,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:31,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:33,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:33,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:35,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:35,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:37,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:37,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:39,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:39,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:41,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:43,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:45,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:45,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:47,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:47,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:49,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:49,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:51,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:51,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:53,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:53,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:55,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:55,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:57,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:57,SA-01/TEMPERATURE,27.98
2024-10-19 14:58:59,SA-01/TEMPERATURE,28.45
2024-10-19 14:58:59,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:01,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:03,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:03,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:05,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:07,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:07,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:09,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:09,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:11,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:11,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:13,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:13,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:15,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:15,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:19,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:19,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:21,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:23,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:23,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:25,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:27,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:27,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:29,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:29,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:31,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:31,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:33,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:33,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:35,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:35,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:37,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:37,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:39,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:39,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:41,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:41,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:43,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:43,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:45,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:47,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:49,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:49,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:51,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:51,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:53,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:53,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:55,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:55,SA-01/TEMPERATURE,27.98
2024-10-19 14:59:57,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:57,SA-01/TEMPERATURE,27.51
2024-10-19 14:59:59,SA-01/TEMPERATURE,28.45
2024-10-19 14:59:59,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:01,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:01,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:03,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:03,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:05,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:07,SA-01/TEMPERATURE,27.51
2024-10-19 15:00:07,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:09,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:11,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:11,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:13,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:13,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:15,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:15,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:17,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:17,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:19,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:19,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:21,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:21,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:23,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:23,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:25,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:25,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:27,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:29,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:31,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:31,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:33,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:33,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:35,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:35,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:37,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:37,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:39,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:39,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:41,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:41,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:43,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:43,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:45,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:45,SA-01/TEMPERATURE,27.51
2024-10-19 15:00:47,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:47,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:49,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:51,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:53,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:53,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:55,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:55,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:57,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:57,SA-01/TEMPERATURE,27.98
2024-10-19 15:00:59,SA-01/TEMPERATURE,28.45
2024-10-19 15:00:59,SA-01/TEMPERATURE,27.98
2024-10-19 15:01:01,SA-01/TEMPERATURE,28.45
2024-10-19 15:01:01,SA-01/TEMPERATURE,27.98
2024-10-19 15:01:03,SA-01/TEMPERATURE,28.45
2024-10-19 15:01:03,SA-01/TEMPERATURE,27.51
2024-10-19 15:01:05,SA-01/TEMPERATURE,28.45
