時間,設備,值
2024-11-06 18:24:03,SA-59/LED_LEVEL,4
2024-11-06 18:28:21,SA-59/LED_LEVEL,5
2024-11-06 18:28:23,SA-59/LED_LEVEL,4
2024-11-06 22:01:13,SA-59/TEMPERATURE,28.45
2024-11-06 22:01:13,SA-59/LINE_LEVEL,1
2024-11-06 22:01:13,SA-59/LED_LEVEL,1
2024-11-06 22:01:27,SA-59/LED_LEVEL,3
2024-11-06 22:01:31,SA-59/LED_LEVEL,4
2024-11-06 22:01:37,SA-59/TEMPERATURE,27.98
2024-11-06 22:01:39,SA-59/TEMPERATURE,28.45
2024-11-06 22:02:19,SA-59/TEMPERATURE,27.98
2024-11-06 22:02:21,SA-59/TEMPERATURE,28.45
2024-11-06 22:02:25,SA-59/TEMPERATURE,27.98
2024-11-06 22:02:27,SA-59/TEMPERATURE,28.45
2024-11-06 22:03:07,SA-59/TEMPERATURE,27.98
2024-11-06 22:03:09,SA-59/TEMPERATURE,28.45
2024-11-06 22:03:23,SA-59/TEMPERATURE,27.98
2024-11-06 22:03:25,SA-59/TEMPERATURE,28.45
2024-11-06 22:03:31,SA-59/TEMPERATURE,27.98
2024-11-06 22:03:33,SA-59/TEMPERATURE,28.45
2024-11-06 22:03:35,SA-59/TEMPERATURE,27.98
2024-11-06 22:03:39,SA-59/TEMPERATURE,28.45
2024-11-06 22:03:43,SA-59/TEMPERATURE,27.98
2024-11-06 22:03:45,SA-59/TEMPERATURE,28.45
2024-11-06 22:03:49,SA-59/TEMPERATURE,27.98
2024-11-06 22:03:51,SA-59/TEMPERATURE,28.45
2024-11-06 22:03:55,SA-59/TEMPERATURE,27.98
2024-11-06 22:03:57,SA-59/TEMPERATURE,28.45
2024-11-06 22:04:07,SA-59/TEMPERATURE,27.98
2024-11-06 22:04:09,SA-59/TEMPERATURE,28.45
2024-11-06 22:05:43,SA-59/TEMPERATURE,27.98
2024-11-06 22:05:45,SA-59/TEMPERATURE,28.45
2024-11-06 22:06:13,SA-59/TEMPERATURE,27.98
2024-11-06 22:06:15,SA-59/TEMPERATURE,28.45
2024-11-06 22:07:23,SA-59/TEMPERATURE,27.98
2024-11-06 22:07:27,SA-59/TEMPERATURE,28.45
2024-11-06 22:07:29,SA-59/TEMPERATURE,27.98
2024-11-06 22:07:31,SA-59/TEMPERATURE,28.45
2024-11-06 22:07:53,SA-59/TEMPERATURE,27.98
2024-11-06 22:07:55,SA-59/TEMPERATURE,28.45
2024-11-06 22:08:33,SA-59/TEMPERATURE,27.98
2024-11-06 22:08:35,SA-59/TEMPERATURE,28.45
2024-11-06 22:08:37,SA-59/TEMPERATURE,27.98
2024-11-06 22:08:39,SA-59/TEMPERATURE,28.45
2024-11-06 22:08:41,SA-59/TEMPERATURE,27.98
2024-11-06 22:08:43,SA-59/TEMPERATURE,28.45
2024-11-06 22:08:57,SA-59/TEMPERATURE,27.98
2024-11-06 22:09:01,SA-59/TEMPERATURE,28.45
2024-11-06 22:09:03,SA-59/TEMPERATURE,27.98
2024-11-06 22:09:05,SA-59/TEMPERATURE,28.45
2024-11-06 22:09:07,SA-59/TEMPERATURE,27.98
2024-11-06 22:09:09,SA-59/TEMPERATURE,28.45
2024-11-06 22:09:11,SA-59/TEMPERATURE,27.98
2024-11-06 22:09:13,SA-59/TEMPERATURE,28.45
2024-11-06 22:09:17,SA-59/TEMPERATURE,27.98
2024-11-06 22:09:19,SA-59/TEMPERATURE,28.45
2024-11-06 22:10:31,SA-59/TEMPERATURE,27.98
2024-11-06 22:10:33,SA-59/TEMPERATURE,28.45
2024-11-06 22:11:53,SA-59/TEMPERATURE,28.92
2024-11-06 22:11:55,SA-59/TEMPERATURE,28.45
2024-11-06 22:12:51,SA-59/TEMPERATURE,27.98
2024-11-06 22:12:53,SA-59/TEMPERATURE,28.45
2024-11-06 22:13:05,SA-59/TEMPERATURE,27.98
2024-11-06 22:13:07,SA-59/TEMPERATURE,28.45
2024-11-06 22:13:23,SA-59/TEMPERATURE,28.92
2024-11-06 22:13:25,SA-59/TEMPERATURE,28.45
2024-11-06 22:14:33,SA-59/TEMPERATURE,28.92
2024-11-06 22:14:35,SA-59/TEMPERATURE,28.45
2024-11-06 22:15:21,SA-59/LED_LEVEL,7
2024-11-06 22:15:23,SA-59/LED_LEVEL,4
2024-11-06 22:15:25,SA-59/TEMPERATURE,27.98
2024-11-06 22:15:25,SA-59/LED_LEVEL,0
2024-11-06 22:15:27,SA-59/LED_LEVEL,1
2024-11-06 22:15:29,SA-59/TEMPERATURE,28.45
2024-11-06 22:15:31,SA-59/LED_LEVEL,2
2024-11-06 22:15:57,SA-59/TEMPERATURE,28.92
2024-11-06 22:15:59,SA-59/TEMPERATURE,28.45
