時間,設備,值
2024-10-26 09:17:37,SA-59/TEMPERATURE,27.04
2024-10-26 09:17:37,SA-59/LINE_LEVEL,1
2024-10-26 09:17:37,SA-59/LED_LEVEL,4
2024-10-26 09:17:39,SA-59/TEMPERATURE,27.51
2024-10-26 09:17:42,SA-59/LED_LEVEL,3
2024-10-26 09:17:43,SA-59/TEMPERATURE,27.04
2024-10-26 09:17:43,SA-59/LED_LEVEL,0
2024-10-26 09:17:45,SA-59/TEMPERATURE,27.51
2024-10-26 09:17:45,SA-59/LED_LEVEL,8
2024-10-26 09:17:47,SA-59/LED_LEVEL,3
2024-10-26 09:17:49,SA-59/TEMPERATURE,27.04
2024-10-26 09:17:55,SA-59/TEMPERATURE,27.51
2024-10-26 09:18:01,SA-59/TEMPERATURE,27.04
2024-10-26 09:18:03,SA-59/LINE_LEVEL,0
2024-10-26 09:18:05,SA-59/TEMPERATURE,27.51
2024-10-26 09:18:05,SA-59/LINE_LEVEL,1
2024-10-26 09:18:09,SA-59/TEMPERATURE,27.98
2024-10-26 09:18:15,SA-59/LED_LEVEL,5
2024-10-26 09:18:17,SA-59/TEMPERATURE,27.51
2024-10-26 09:18:21,SA-59/LINE_LEVEL,0
2024-10-26 09:18:23,SA-59/LINE_LEVEL,1
2024-10-26 09:18:33,SA-59/LED_LEVEL,4
2024-10-26 09:18:35,SA-59/LED_LEVEL,7
2024-10-26 09:18:37,SA-59/LED_LEVEL,8
2024-10-26 09:18:43,SA-59/TEMPERATURE,27.04
2024-10-26 09:18:45,SA-59/TEMPERATURE,27.51
2024-10-26 09:18:51,SA-59/TEMPERATURE,27.04
2024-10-26 09:18:53,SA-59/TEMPERATURE,27.51
2024-10-26 09:19:15,SA-59/TEMPERATURE,27.04
2024-10-26 09:19:17,SA-59/TEMPERATURE,27.51
2024-10-26 09:19:33,SA-59/TEMPERATURE,27.04
2024-10-26 09:19:38,SA-59/TEMPERATURE,27.51
2024-10-26 09:20:07,SA-59/TEMPERATURE,27.98
2024-10-26 09:20:09,SA-59/TEMPERATURE,27.51
2024-10-26 09:20:47,SA-59/TEMPERATURE,27.98
2024-10-26 09:20:49,SA-59/TEMPERATURE,27.51
2024-10-26 09:45:54,SA-59/TEMPERATURE,25.17
2024-10-26 09:45:54,SA-59/LED_LEVEL,10
2024-10-26 09:45:55,SA-59/TEMPERATURE,27.98
2024-10-26 09:46:01,SA-59/TEMPERATURE,27.51
2024-10-26 09:46:03,SA-59/TEMPERATURE,27.98
2024-10-26 09:46:05,SA-59/LED_LEVEL,9
2024-10-26 09:46:07,SA-59/LED_LEVEL,7
2024-10-26 09:46:11,SA-59/LINE_LEVEL,0
2024-10-26 09:46:13,SA-59/LINE_LEVEL,1
2024-10-26 09:46:19,SA-59/TEMPERATURE,27.51
2024-10-26 09:46:21,SA-59/TEMPERATURE,27.98
2024-10-26 09:46:33,SA-59/TEMPERATURE,27.51
2024-10-26 09:46:35,SA-59/TEMPERATURE,27.98
2024-10-26 09:46:45,SA-59/TEMPERATURE,27.51
2024-10-26 09:46:47,SA-59/TEMPERATURE,27.98
2024-10-26 09:46:59,SA-59/TEMPERATURE,27.51
2024-10-26 09:47:03,SA-59/TEMPERATURE,27.98
2024-10-26 09:47:07,SA-59/TEMPERATURE,27.51
2024-10-26 09:47:09,SA-59/TEMPERATURE,27.98
2024-10-26 09:47:19,SA-59/TEMPERATURE,27.51
2024-10-26 09:47:21,SA-59/TEMPERATURE,27.98
2024-10-26 09:47:25,SA-59/TEMPERATURE,27.51
2024-10-26 09:47:27,SA-59/TEMPERATURE,27.98
2024-10-26 09:47:37,SA-59/TEMPERATURE,27.51
2024-10-26 09:47:39,SA-59/TEMPERATURE,27.98
2024-10-26 09:47:49,SA-59/TEMPERATURE,27.51
2024-10-26 09:47:53,SA-59/TEMPERATURE,27.98
2024-10-26 09:48:19,SA-59/TEMPERATURE,27.51
2024-10-26 09:48:21,SA-59/TEMPERATURE,27.98
2024-10-26 09:48:23,SA-59/TEMPERATURE,27.51
2024-10-26 09:48:27,SA-59/TEMPERATURE,27.98
2024-10-26 09:48:35,SA-59/TEMPERATURE,27.51
2024-10-26 09:48:37,SA-59/TEMPERATURE,27.98
2024-10-26 09:48:49,SA-59/TEMPERATURE,27.51
2024-10-26 09:48:51,SA-59/TEMPERATURE,27.98
2024-10-26 09:48:53,SA-59/TEMPERATURE,27.51
2024-10-26 09:48:55,SA-59/TEMPERATURE,27.98
2024-10-26 09:48:58,SA-59/LED_LEVEL,6
2024-10-26 09:48:59,SA-59/TEMPERATURE,27.51
2024-10-26 09:48:59,SA-59/LED_LEVEL,8
2024-10-26 09:49:01,SA-59/TEMPERATURE,27.98
2024-10-26 09:49:01,SA-59/LED_LEVEL,10
2024-10-26 09:49:07,SA-59/TEMPERATURE,27.51
2024-10-26 09:49:07,SA-59/LINE_LEVEL,0
2024-10-26 09:49:09,SA-59/TEMPERATURE,27.98
2024-10-26 09:49:11,SA-59/LINE_LEVEL,1
2024-10-26 09:49:13,SA-59/TEMPERATURE,27.51
2024-10-26 09:49:15,SA-59/TEMPERATURE,28.45
2024-10-26 09:49:19,SA-59/TEMPERATURE,27.98
2024-10-26 09:49:19,SA-59/LED_LEVEL,7
2024-10-26 09:49:21,SA-59/LED_LEVEL,5
2024-10-26 09:49:25,SA-59/TEMPERATURE,27.51
2024-10-26 09:49:27,SA-59/TEMPERATURE,27.98
2024-10-26 09:52:45,SA-59/TEMPERATURE,27.51
2024-10-26 09:52:47,SA-59/TEMPERATURE,27.98
2024-10-26 09:53:07,SA-59/TEMPERATURE,28.45
2024-10-26 09:53:09,SA-59/TEMPERATURE,27.98
2024-10-26 09:53:19,SA-59/TEMPERATURE,27.51
2024-10-26 09:53:21,SA-59/TEMPERATURE,27.98
