時間,設備,值
2024-11-02 19:37:49,SA-59/TEMPERATURE,29.85
2024-11-02 19:37:49,SA-59/LINE_LEVEL,1
2024-11-02 19:37:57,SA-59/LED_LEVEL,4
2024-11-02 19:37:59,SA-59/LED_LEVEL,5
2024-11-02 19:38:01,SA-59/LED_LEVEL,6
2024-11-02 19:38:11,SA-59/TEMPERATURE,30.32
2024-11-02 19:38:13,SA-59/TEMPERATURE,29.85
2024-11-02 19:38:21,SA-59/TEMPERATURE,30.32
2024-11-02 19:38:21,SA-59/LED_LEVEL,4
2024-11-02 19:38:25,SA-59/TEMPERATURE,29.85
2024-11-02 19:38:25,SA-59/LINE_LEVEL,0
2024-11-02 19:38:27,SA-59/LINE_LEVEL,1
2024-11-02 19:38:31,SA-59/TEMPERATURE,30.32
2024-11-02 19:38:37,SA-59/TEMPERATURE,29.85
2024-11-02 19:38:39,SA-59/TEMPERATURE,30.32
2024-11-02 19:38:59,SA-59/TEMPERATURE,29.85
2024-11-02 19:39:01,SA-59/TEMPERATURE,30.32
2024-11-02 19:39:09,SA-59/TEMPERATURE,29.85
2024-11-02 19:39:11,SA-59/TEMPERATURE,30.32
2024-11-02 19:39:33,SA-59/TEMPERATURE,29.85
2024-11-02 19:39:35,SA-59/TEMPERATURE,30.32
2024-11-02 19:40:05,SA-59/TEMPERATURE,29.85
2024-11-02 19:40:07,SA-59/TEMPERATURE,30.32
2024-11-02 19:40:13,SA-59/TEMPERATURE,29.85
2024-11-02 19:40:15,SA-59/TEMPERATURE,30.32
2024-11-02 19:40:19,SA-59/TEMPERATURE,29.85
2024-11-02 19:40:21,SA-59/TEMPERATURE,30.32
2024-11-02 19:41:57,SA-59/TEMPERATURE,29.85
2024-11-02 19:41:59,SA-59/TEMPERATURE,30.32
2024-11-02 19:42:01,SA-59/TEMPERATURE,29.85
2024-11-02 19:42:03,SA-59/TEMPERATURE,30.32
2024-11-02 19:42:21,SA-59/TEMPERATURE,30.79
2024-11-02 19:42:23,SA-59/TEMPERATURE,30.32
2024-11-02 19:42:27,SA-59/TEMPERATURE,30.79
2024-11-02 19:42:29,SA-59/TEMPERATURE,30.32
2024-11-02 19:42:31,SA-59/TEMPERATURE,30.79
2024-11-02 19:42:37,SA-59/TEMPERATURE,30.32
2024-11-02 19:42:39,SA-59/TEMPERATURE,30.79
2024-11-02 19:42:43,SA-59/TEMPERATURE,30.32
2024-11-02 19:42:45,SA-59/TEMPERATURE,30.79
2024-11-02 19:43:03,SA-59/TEMPERATURE,30.32
2024-11-02 19:43:05,SA-59/TEMPERATURE,30.79
2024-11-02 19:43:19,SA-59/TEMPERATURE,30.32
2024-11-02 19:43:21,SA-59/TEMPERATURE,30.79
2024-11-02 19:43:57,SA-59/TEMPERATURE,30.32
2024-11-02 19:44:01,SA-59/TEMPERATURE,30.79
2024-11-02 19:44:03,SA-59/TEMPERATURE,30.32
2024-11-02 19:44:05,SA-59/TEMPERATURE,30.79
2024-11-02 19:44:09,SA-59/TEMPERATURE,30.32
2024-11-02 19:44:11,SA-59/TEMPERATURE,30.79
2024-11-02 19:44:31,SA-59/TEMPERATURE,30.32
2024-11-02 19:44:33,SA-59/TEMPERATURE,30.79
2024-11-02 19:45:07,SA-59/TEMPERATURE,30.32
2024-11-02 19:45:09,SA-59/TEMPERATURE,30.79
2024-11-02 19:45:19,SA-59/TEMPERATURE,30.32
2024-11-02 19:45:21,SA-59/TEMPERATURE,30.79
2024-11-02 19:45:41,SA-59/TEMPERATURE,30.32
2024-11-02 19:46:05,SA-59/TEMPERATURE,30.79
2024-11-02 19:46:09,SA-59/TEMPERATURE,30.32
2024-11-02 19:46:11,SA-59/TEMPERATURE,30.79
2024-11-02 19:46:13,SA-59/TEMPERATURE,30.32
2024-11-02 19:46:17,SA-59/TEMPERATURE,30.79
2024-11-02 19:46:31,SA-59/TEMPERATURE,30.32
2024-11-02 19:46:33,SA-59/TEMPERATURE,30.79
2024-11-02 19:46:51,SA-59/TEMPERATURE,30.32
2024-11-02 19:46:53,SA-59/TEMPERATURE,30.79
2024-11-02 19:47:31,SA-59/TEMPERATURE,30.32
2024-11-02 19:47:33,SA-59/TEMPERATURE,30.79
2024-11-02 19:47:59,SA-59/TEMPERATURE,30.32
2024-11-02 19:48:01,SA-59/TEMPERATURE,30.79
2024-11-02 19:48:09,SA-59/TEMPERATURE,30.32
2024-11-02 19:48:13,SA-59/TEMPERATURE,30.79
2024-11-02 19:48:19,SA-59/TEMPERATURE,30.32
2024-11-02 19:48:21,SA-59/TEMPERATURE,30.79
2024-11-02 19:48:37,SA-59/TEMPERATURE,30.32
2024-11-02 19:48:39,SA-59/TEMPERATURE,30.79
2024-11-02 19:48:53,SA-59/TEMPERATURE,30.32
2024-11-02 19:48:55,SA-59/TEMPERATURE,30.79
2024-11-02 19:49:33,SA-59/TEMPERATURE,30.32
2024-11-02 19:49:37,SA-59/TEMPERATURE,30.79
2024-11-02 19:49:39,SA-59/TEMPERATURE,30.32
2024-11-02 19:49:41,SA-59/TEMPERATURE,30.79
2024-11-02 19:49:47,SA-59/TEMPERATURE,30.32
2024-11-02 19:49:49,SA-59/TEMPERATURE,30.79
2024-11-02 19:50:15,SA-59/TEMPERATURE,30.32
2024-11-02 19:50:17,SA-59/TEMPERATURE,30.79
2024-11-02 19:50:19,SA-59/TEMPERATURE,30.32
2024-11-02 19:50:21,SA-59/TEMPERATURE,30.79
2024-11-02 19:50:37,SA-59/TEMPERATURE,30.32
2024-11-02 19:50:39,SA-59/TEMPERATURE,30.79
2024-11-02 19:52:01,SA-59/TEMPERATURE,30.32
2024-11-02 19:52:03,SA-59/TEMPERATURE,30.79
2024-11-02 19:52:29,SA-59/TEMPERATURE,30.32
2024-11-02 19:52:31,SA-59/TEMPERATURE,30.79
2024-11-02 19:52:33,SA-59/TEMPERATURE,30.32
2024-11-02 19:52:39,SA-59/TEMPERATURE,30.79
2024-11-02 19:52:43,SA-59/TEMPERATURE,30.32
2024-11-02 19:52:45,SA-59/TEMPERATURE,30.79
2024-11-02 19:53:01,SA-59/TEMPERATURE,30.32
2024-11-02 19:53:03,SA-59/TEMPERATURE,30.79
2024-11-02 19:53:43,SA-59/TEMPERATURE,30.32
2024-11-02 19:53:45,SA-59/TEMPERATURE,30.79
2024-11-02 19:54:14,SA-59/TEMPERATURE,30.32
2024-11-02 19:54:16,SA-59/TEMPERATURE,30.79
2024-11-02 19:54:46,SA-59/TEMPERATURE,30.32
2024-11-02 19:54:48,SA-59/TEMPERATURE,30.79
2024-11-02 19:55:08,SA-59/TEMPERATURE,30.32
2024-11-02 19:55:10,SA-59/TEMPERATURE,30.79
2024-11-02 19:55:12,SA-59/TEMPERATURE,30.32
2024-11-02 19:55:14,SA-59/TEMPERATURE,30.79
2024-11-02 19:55:18,SA-59/TEMPERATURE,30.32
2024-11-02 19:55:32,SA-59/TEMPERATURE,30.79
2024-11-02 19:55:34,SA-59/TEMPERATURE,30.32
2024-11-02 19:55:52,SA-59/TEMPERATURE,30.79
2024-11-02 19:55:54,SA-59/TEMPERATURE,30.32
2024-11-02 19:56:10,SA-59/TEMPERATURE,30.79
2024-11-02 19:56:12,SA-59/TEMPERATURE,30.32
2024-11-02 19:56:28,SA-59/TEMPERATURE,29.85
2024-11-02 19:56:30,SA-59/TEMPERATURE,30.32
2024-11-02 19:57:22,SA-59/TEMPERATURE,29.85
2024-11-02 19:57:24,SA-59/TEMPERATURE,30.32
2024-11-02 19:57:46,SA-59/TEMPERATURE,29.85
2024-11-02 19:57:48,SA-59/TEMPERATURE,30.32
