時間,設備,值
2024-10-30 20:39:58,SA-59/TEMPERATURE,30.32
2024-10-30 20:39:58,SA-59/LED_LEVEL,8
2024-10-30 20:40:10,SA-59/LED_LEVEL,6
2024-10-30 20:40:14,SA-59/TEMPERATURE,30.79
2024-10-30 20:40:16,SA-59/TEMPERATURE,30.32
2024-10-30 20:40:22,SA-59/TEMPERATURE,30.79
2024-10-30 20:40:24,SA-59/TEMPERATURE,30.32
2024-10-30 20:40:26,SA-59/LED_LEVEL,5
2024-10-30 20:40:28,SA-59/LED_LEVEL,6
2024-10-30 20:40:36,SA-59/TEMPERATURE,30.79
2024-10-30 20:40:44,SA-59/TEMPERATURE,30.32
2024-10-30 20:40:48,SA-59/TEMPERATURE,30.79
2024-10-30 20:40:50,SA-59/TEMPERATURE,30.32
2024-10-30 20:40:54,SA-59/TEMPERATURE,30.79
2024-10-30 20:40:56,SA-59/TEMPERATURE,30.32
2024-10-30 20:41:02,SA-59/TEMPERATURE,30.79
2024-10-30 20:41:04,SA-59/TEMPERATURE,30.32
2024-10-30 20:41:30,SA-59/TEMPERATURE,30.79
2024-10-30 20:41:32,SA-59/TEMPERATURE,30.32
2024-10-30 20:41:42,SA-59/TEMPERATURE,30.79
2024-10-30 20:41:44,SA-59/TEMPERATURE,30.32
2024-10-30 20:41:52,SA-59/TEMPERATURE,30.79
2024-10-30 20:41:54,SA-59/TEMPERATURE,30.32
2024-10-30 20:42:07,SA-59/TEMPERATURE,29.85
2024-10-30 20:42:08,SA-59/LINE_LEVEL,1
2024-10-30 20:42:11,SA-59/TEMPERATURE,30.32
2024-10-30 20:42:33,SA-59/TEMPERATURE,29.85
2024-10-30 20:42:35,SA-59/TEMPERATURE,30.32
2024-10-30 20:42:51,SA-59/LINE_LEVEL,0
2024-10-30 20:42:53,SA-59/LINE_LEVEL,1
2024-10-30 20:43:01,SA-59/LED_LEVEL,4
2024-10-30 20:43:03,SA-59/LED_LEVEL,3
2024-10-30 20:44:01,SA-59/TEMPERATURE,29.85
2024-10-30 20:44:03,SA-59/TEMPERATURE,30.79
2024-10-30 20:44:05,SA-59/TEMPERATURE,30.32
2024-10-30 20:44:31,SA-59/LED_LEVEL,4
2024-10-30 20:44:33,SA-59/LED_LEVEL,6
2024-10-30 20:44:35,SA-59/TEMPERATURE,30.79
2024-10-30 20:44:37,SA-59/TEMPERATURE,30.32
2024-10-30 20:44:37,SA-59/LED_LEVEL,9
2024-10-30 20:44:41,SA-59/TEMPERATURE,30.79
2024-10-30 20:44:41,SA-59/LED_LEVEL,8
2024-10-30 20:44:43,SA-59/TEMPERATURE,30.32
2024-10-30 20:44:43,SA-59/LED_LEVEL,0
2024-10-30 20:44:47,SA-59/LED_LEVEL,3
2024-10-30 20:44:49,SA-59/LED_LEVEL,7
2024-10-30 20:44:51,SA-59/LED_LEVEL,10
2024-10-30 20:44:53,SA-59/LED_LEVEL,6
2024-10-30 20:44:55,SA-59/LED_LEVEL,0
2024-10-30 20:44:57,SA-59/LED_LEVEL,1
2024-10-30 20:45:05,SA-59/TEMPERATURE,30.79
2024-10-30 20:45:07,SA-59/LINE_LEVEL,0
2024-10-30 20:45:09,SA-59/LINE_LEVEL,1
2024-10-30 20:45:13,SA-59/TEMPERATURE,30.32
2024-10-30 20:45:15,SA-59/TEMPERATURE,30.79
2024-10-30 20:45:17,SA-59/TEMPERATURE,30.32
2024-10-30 20:45:19,SA-59/TEMPERATURE,30.79
2024-10-30 20:45:21,SA-59/TEMPERATURE,30.32
2024-10-30 20:45:29,SA-59/TEMPERATURE,30.79
2024-10-30 20:45:31,SA-59/TEMPERATURE,30.32
2024-10-30 20:45:33,SA-59/TEMPERATURE,30.79
2024-10-30 20:45:35,SA-59/TEMPERATURE,30.32
2024-10-30 20:45:57,SA-59/TEMPERATURE,30.79
2024-10-30 20:45:59,SA-59/TEMPERATURE,30.32
2024-10-30 20:46:07,SA-59/TEMPERATURE,30.79
2024-10-30 20:46:09,SA-59/TEMPERATURE,30.32
2024-10-30 20:46:21,SA-59/TEMPERATURE,30.79
2024-10-30 20:46:23,SA-59/TEMPERATURE,30.32
2024-10-30 20:46:31,SA-59/TEMPERATURE,30.79
2024-10-30 20:46:33,SA-59/TEMPERATURE,30.32
2024-10-30 20:46:49,SA-59/TEMPERATURE,30.79
2024-10-30 20:46:51,SA-59/TEMPERATURE,30.32
2024-10-30 20:47:07,SA-59/TEMPERATURE,30.79
2024-10-30 20:47:09,SA-59/TEMPERATURE,30.32
2024-10-30 20:47:39,SA-59/TEMPERATURE,30.79
2024-10-30 20:47:41,SA-59/TEMPERATURE,30.32
2024-10-30 20:47:55,SA-59/TEMPERATURE,30.79
2024-10-30 20:47:57,SA-59/TEMPERATURE,30.32
2024-10-30 20:48:09,SA-59/TEMPERATURE,30.79
